a	b	sample_a	sample_b	kinship	theta	k0	k1	k2	KING	R0	R1	nSites	relationship_class
CGA009	CGA010	CGA009	CGA010	0.000012	0.000012	1.000000	0.000000	0.000000	0.032806	0.413681	0.272029	894284	Unrelated
CGA009	CGA021	CGA009	CGA021	0.000002	0.000002	0.991523	0.000000	0.000000	-0.016392	0.542815	0.265480	897815	Unrelated
CGA009	CGA022	CGA009	CGA022	0.000000	0.000000	1.000000	0.000000	0.000000	0.001807	0.495265	0.267640	878090	Unrelated
CGA009	CGA033	CGA009	CGA033	0.000149	0.000149	1.000000	0.000000	0.000000	0.040120	0.403892	0.312993	895097	Unrelated
CGA009	CGA034	CGA009	CGA034	0.013418	0.013418	0.946694	0.045446	0.000000	0.035653	0.408243	0.281251	883243	Unrelated
CGA009	CGA045	CGA009	CGA045	0.110561	0.110561	0.647513	0.262732	0.089754	0.158395	0.182327	0.455897	885492	Second degree
CGA009	CGA046	CGA009	CGA046	0.000001	0.000001	1.000000	0.000000	0.000000	0.064817	0.335977	0.294368	887085	Unrelated
CGA009	CGA057	CGA009	CGA057	0.000000	0.000000	1.000000	0.000000	0.000000	0.023770	0.436287	0.263354	887564	Unrelated
CGA009	CGA058	CGA009	CGA058	0.000121	0.000121	1.000000	0.000000	0.000000	0.044029	0.390184	0.295985	882776	Unrelated
CGA009	CGA070	CGA009	CGA070	0.000004	0.000004	1.000000	0.000000	0.000000	0.007862	0.478598	0.254916	888257	Unrelated
CGA009	CGA072	CGA009	CGA072	0.000000	0.000000	1.000000	0.000000	0.000000	-0.011034	0.527863	0.279471	913563	Unrelated
CGA009	CGA073	CGA009	CGA073	0.000001	0.000001	0.966473	0.000004	0.000000	-0.025421	0.569545	0.247457	885293	Unrelated
CGA009	CGA074	CGA009	CGA074	0.000002	0.000002	0.996506	0.000000	0.000003	-0.033592	0.592794	0.242866	25013	Unrelated
CGA009	CGA079	CGA009	CGA079	0.000004	0.000004	0.975443	0.000015	0.000000	-0.008910	0.523288	0.266631	891948	Unrelated
CGA009	CGA080	CGA009	CGA080	0.000010	0.000010	1.000000	0.000000	0.000000	0.030895	0.416746	0.262726	880204	Unrelated
CGA009	CGA083	CGA009	CGA083	0.021940	0.021940	0.912244	0.087752	0.000000	0.057174	0.345269	0.266105	895670	Unrelated
CGA009	CGA084	CGA009	CGA084	0.000001	0.000001	1.000000	0.000000	0.000000	-0.004615	0.512366	0.258308	882729	Unrelated
CGA009	CGA085	CGA009	CGA085	0.028006	0.028006	0.888323	0.111331	0.000345	0.098998	0.269716	0.342233	847280	Unrelated
CGA009	CGA086	CGA009	CGA086	0.001624	0.001624	0.996703	0.000072	0.003198	0.034196	0.413029	0.285741	857519	Unrelated
CGA009	CGA091	CGA009	CGA091	0.000002	0.000002	1.000000	0.000000	0.000000	0.050662	0.372219	0.292681	877994	Unrelated
CGA009	CGA092	CGA009	CGA092	0.000000	0.000000	0.995981	0.000000	0.000000	0.008824	0.476283	0.259608	888467	Unrelated
CGA009	CGA095	CGA009	CGA095	0.030881	0.030881	0.920774	0.034929	0.044296	0.076736	0.322961	0.340463	885961	Unrelated
CGA009	CGA096	CGA009	CGA096	0.069483	0.069483	0.805114	0.111840	0.075894	0.100718	0.276042	0.367205	872553	Third degree
CGA009	CGA097	CGA009	CGA097	0.000000	0.000000	1.000000	0.000000	0.000000	0.066505	0.307786	0.244604	480	Unrelated
CGA009	CGA098	CGA009	CGA098	0.000002	0.000002	1.000000	0.000000	0.000000	0.005650	0.485570	0.278274	862600	Unrelated
CGA009	CGA107	CGA009	CGA107	0.021904	0.021904	0.941631	0.001279	0.000000	0.018283	0.448548	0.245283	874919	Unrelated
CGA009	CGA108	CGA009	CGA108	0.000002	0.000002	1.000000	0.000000	0.000000	0.047184	0.379155	0.285594	879837	Unrelated
CGA009	CGA109	CGA009	CGA109	0.000004	0.000004	1.000000	0.000000	0.000000	0.049727	0.382728	0.322645	852616	Unrelated
CGA009	CGA119	CGA009	CGA119	0.000000	0.000000	1.000000	0.000000	0.000000	0.006534	0.483628	0.286157	884590	Unrelated
CGA009	CGA120	CGA009	CGA120	0.000020	0.000020	1.000000	0.000000	0.000000	0.054272	0.361152	0.287529	895519	Unrelated
CGA009	CGA121	CGA009	CGA121	0.004605	0.004605	0.981579	0.018421	0.000000	0.075710	0.311449	0.303738	887937	Unrelated
CGA009	CGA122	CGA009	CGA122	0.000003	0.000003	1.000000	0.000000	0.000000	0.005665	0.484767	0.258901	861496	Unrelated
CGA009	CGA131	CGA009	CGA131	0.000005	0.000005	1.000000	0.000000	0.000000	0.023322	0.437821	0.265251	890433	Unrelated
CGA009	CGA141	CGA009	CGA141	0.000001	0.000001	1.000000	0.000000	0.000000	0.071861	0.325076	0.313138	876269	Unrelated
CGA009	CGA143	CGA009	CGA143	0.112459	0.112459	0.630480	0.282548	0.064452	0.123939	0.232904	0.393230	876980	Second degree
CGA009	CGA153	CGA009	CGA153	0.000003	0.000003	1.000000	0.000000	0.000000	0.007109	0.482194	0.286375	872991	Unrelated
CGA009	CGA154	CGA009	CGA154	0.000040	0.000040	1.000000	0.000000	0.000000	0.053957	0.373676	0.327217	890542	Unrelated
CGA009	CGA155	CGA009	CGA155	0.000003	0.000003	0.975385	0.000011	0.000000	0.000371	0.499006	0.258677	882587	Unrelated
CGA009	CGA162	CGA009	CGA162	0.047256	0.047256	0.813753	0.183470	0.002776	0.084753	0.300753	0.333049	870091	Third degree
CGA009	CGA163	CGA009	CGA163	0.000000	0.000000	1.000000	0.000000	0.000000	-0.005025	0.512350	0.291761	895218	Unrelated
CGA009	CGA164	CGA009	CGA164	0.000005	0.000005	1.000000	0.000000	0.000000	0.053876	0.371637	0.318796	883116	Unrelated
CGA009	CGA165	CGA009	CGA165	0.001705	0.001705	0.986598	0.000016	0.003402	0.017496	0.456450	0.291143	868196	Unrelated
CGA009	CGA166	CGA009	CGA166	0.000141	0.000141	1.000000	0.000000	0.000000	0.050898	0.380171	0.323752	897238	Unrelated
CGA009	CGA167	CGA009	CGA167	0.293317	0.293317	0.218791	0.389151	0.392056	0.319856	0.039003	1.085149	916051	First degree
